EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
     -------      -------      -------      -------
        pipP      1.07109      1.07109      0.00000
        pimP      2.94330      2.94330      0.00000
        eleP      4.58173      4.58173      0.00000
          Q2      2.97193      2.97193      0.00000
           W      3.03347      3.03347      0.00000
           x      0.26315      0.26315      0.00000
           y      0.56776      0.56776     -0.00000
          Mh      0.65417      0.65417      0.00000
          xF      0.51260      0.51260     -0.00000
      PhPerp      0.28850      0.28850     -0.00000
  sin(theta)      0.85452      0.19768      0.65684
        PhiH      1.83647      1.83647      0.00000
        PhiR      4.78299      4.78299      0.00000

EVENT#  xtree0: 2108  xtree1: 2108
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.59353      2.59353      0.00000
        pimP      3.72602      3.72602      0.00000
        eleP      3.48394      3.48394      0.00000
          Q2      4.31296      4.31296      0.00000
           W      3.14976      3.14976      0.00000
           x      0.32298      0.32298      0.00000
           y      0.67133      0.67133      0.00000
          Mh      1.53530      1.53530      0.00000
          xF      0.50991      0.50991     -0.00000
      PhPerp      0.08544      0.08544     -0.00000
  sin(theta)      0.98227      0.10856      0.87371
        PhiH      4.05951      4.05951      6.28319
        PhiR      0.84006      0.84006      0.00000

EVENT#  xtree0: 2633  xtree1: 2633
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.78207      2.78207      0.00000
        pimP      1.22048      1.22048      0.00000
        eleP      3.71769      3.71769      0.00000
          Q2      2.05697      2.05697      0.00000
           W      3.42613      3.42613      0.00000
           x      0.15927      0.15927     -0.00000
           y      0.64927      0.64927      0.00000
          Mh      1.06360      1.06360      0.00000
          xF      0.31899      0.31899     -0.00000
      PhPerp      0.41971      0.41971      0.00000
  sin(theta)      0.90894      0.21392      0.69502
        PhiH      2.52035      2.52035      0.00000
        PhiR      5.31679      5.31679      0.00000

EVENT#  xtree0: 2675  xtree1: 2675
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.28538      1.28538      0.00000
        pimP      1.15280      1.15280      0.00000
        eleP      4.30812      4.30812      0.00000
          Q2      7.33171      7.33171      0.00000
           W      2.31423      2.31423      0.00000
           x      0.62096      0.62096      0.00000
           y      0.59357      0.59357      0.00000
          Mh      0.88566      0.88566      0.00000
          xF     -0.16333     -0.16333     -0.00000
      PhPerp      0.33210      0.33210      0.00000
  sin(theta)      0.99816      0.99515      0.00301
        PhiH      5.15195      5.15195      0.00000
        PhiR      1.21862      1.21862      0.00000

EVENT#  xtree0: 2722  xtree1: 2722
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.75491      1.75491      0.00000
        pimP      1.48530      1.48530      0.00000
        eleP      6.96996      6.96996      0.00000
          Q2      2.87678      2.87678      0.00000
           W      2.19443      2.19443      0.00000
           x      0.42231      0.42231     -0.00000
           y      0.34246      0.34246      0.00000
          Mh      0.85607      0.85607      0.00000
          xF      0.51750      0.51750     -0.00000
      PhPerp      0.27816      0.27816      0.00000
  sin(theta)      0.99589      0.56991      0.42598
        PhiH      4.11230      4.11230      0.00000
        PhiR      4.77436      4.77436      0.00000

EVENT#  xtree0: 2758  xtree1: 2758
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.37552      1.37552      0.00000
        pimP      1.15712      1.15712      0.00000
        eleP      5.64047      5.64047      0.00000
          Q2      2.44815      2.44815      0.00000
           W      2.78190      2.78190      0.00000
           x      0.26305      0.26305      0.00000
           y      0.46788      0.46788      0.00000
          Mh      1.29507      1.29507      0.00000
          xF     -0.16694     -0.16694     -0.00000
      PhPerp      0.49752      0.49752     -0.00000
  sin(theta)      0.99486      0.99764     -0.00278
        PhiH      2.30781      2.30781      0.00000
        PhiR      0.28598      0.28598      0.00000

EVENT#  xtree0: 2942  xtree1: 2942
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.49146      1.49146      0.00000
        pimP      2.00476      2.00476      0.00000
        eleP      5.25549      5.25549      0.00000
          Q2      3.96806      3.96806      0.00000
           W      2.63467      2.63467      0.00000
           x      0.39565      0.39565      0.00000
           y      0.50420      0.50420      0.00000
          Mh      0.50140      0.50139      0.00000
          xF      0.50944      0.50944     -0.00000
      PhPerp      0.20170      0.20170      0.00000
