EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
  sin(theta)      0.99530      0.63466      0.36064
        PhiH      0.76240      0.76240      0.00000
        PhiR      3.30491      3.30491      6.28319

EVENT#  xtree0: 9990  xtree1: 9990
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.83145      1.83145      0.00000
        pimP      1.36063      1.36063      0.00000
        eleP      5.63090      5.63090      0.00000
          Q2      4.25702      4.25702      0.00000
           W      2.43887      2.43887      0.00000
           x      0.45653      0.45653      0.00000
           y      0.46878      0.46878      0.00000
          Mh      0.78914      0.78913      0.00000
          xF      0.32699      0.32699     -0.00000
      PhPerp      0.37354      0.37354     -0.00000
  sin(theta)      0.98688      0.75870      0.22818
        PhiH      5.69047      5.69047      6.28319
        PhiR      5.03898      5.03898      0.00000

EVENT#  xtree0: 10050  xtree1: 10050
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.07159      1.07159      0.00000
        pimP      2.04347      2.04347      0.00000
        eleP      4.60622      4.60622      0.00000
          Q2      2.55271      2.55271      0.00000
           W      3.09439      3.09439      0.00000
           x      0.22696      0.22696      0.00000
           y      0.56545      0.56545      0.00000
          Mh      0.57382      0.57382      0.00000
          xF      0.33418      0.33418     -0.00000
      PhPerp      0.52517      0.52517      0.00000
  sin(theta)      0.93293      0.49222      0.44072
        PhiH      2.54346      2.54346      0.00000
        PhiR      6.02346      6.02346      0.00000

EVENT#  xtree0: 10533  xtree1: 10533
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.96550      2.96550      0.00000
        pimP      1.37085      1.37085      0.00000
        eleP      4.49016      4.49016      0.00000
          Q2      2.09802      2.09802      0.00000
           W      3.20121      3.20121      0.00000
           x      0.18299      0.18299     -0.00000
           y      0.57640      0.57640      0.00000
          Mh      0.76182      0.76182      0.00000
          xF      0.43873      0.43873     -0.00000
      PhPerp      0.86332      0.86332      0.00000
  sin(theta)      0.91672      0.45061      0.46611
        PhiH      0.75170      0.75170      0.00000
        PhiR      3.51960      3.51960      0.00000

EVENT#  xtree0: 10567  xtree1: 10567
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.07876      2.07876      0.00000
        pimP      1.45760      1.45760      0.00000
        eleP      5.42928      5.42928      0.00000
          Q2      2.99022      2.99022      0.00000
           W      2.75558      2.75558      0.00000
           x      0.30817      0.30817      0.00000
           y      0.48780      0.48780      0.00000
          Mh      0.97137      0.97137      0.00000
          xF      0.39235      0.39235     -0.00000
      PhPerp      0.11712      0.11712      0.00000
  sin(theta)      0.98189      0.29728      0.68461
        PhiH      2.71558      2.71558      0.00000
        PhiR      0.77363      0.77363      0.00000

EVENT#  xtree0: 10986  xtree1: 10986
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.31471      1.31471     -0.00000
        pimP      1.36840      1.36840      0.00000
        eleP      3.18787      3.18787      0.00000
          Q2      1.80253      1.80253      0.00000
           W      3.60375      3.60375      0.00000
           x      0.12959      0.12959      0.00000
           y      0.69926      0.69926      0.00000
          Mh      0.55698      0.55697      0.00000
          xF      0.14567      0.14567     -0.00000
      PhPerp      0.69353      0.69353      0.00000
  sin(theta)      0.99973      0.86640      0.13333
        PhiH      3.52339      3.52339      0.00000
        PhiR      4.52620      4.52620      0.00000

EVENT#  xtree0: 11222  xtree1: 11222
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.02931      2.02931      0.00000
        pimP      1.94056      1.94056      0.00000
        eleP      3.96742      3.96742      0.00000
          Q2      2.60989      2.60989      0.00000
           W      3.27365      3.27365      0.00000
           x      0.20969      0.20969      0.00000
           y      0.62572      0.62572      0.00000
          Mh      1.06603      1.06603      0.00000
          xF      0.29780      0.29780     -0.00000
      PhPerp      0.51738      0.51738     -0.00000
  sin(theta)      0.99971      0.46111      0.53861
        PhiH      1.52047      1.52047      0.00000
        PhiR      4.05689      4.05689      0.00000

EVENT#  xtree0: 11882  xtree1: 11882
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.70468      1.70468      0.00000
        pimP      1.06484      1.06484      0.00000
        eleP      2.90749      2.90749      0.00000
          Q2      3.82808      3.82808      0.00000
           W      3.38934      3.38934      0.00000
           x      0.26519      0.26519      0.00000
           y      0.72571      0.72571      0.00000
          Mh      0.76337      0.76337      0.00000
          xF      0.14690      0.14690     -0.00000
      PhPerp      0.32033      0.32033      0.00000
  sin(theta)      0.96684      0.46997      0.49688
        PhiH      2.30729      2.30729      6.28319
        PhiR      5.11107      5.11107      0.00000

EVENT#  xtree0: 11949  xtree1: 11949
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.55092      3.55092      0.00000
        pimP      1.40981      1.40981      0.00000
        eleP      2.43473      2.43473      0.00000
          Q2      4.14906      4.14906      0.00000
           W      3.47186      3.47186      0.00000
           x      0.27078      0.27078      0.00000
           y      0.77031      0.77031      0.00000
          Mh      1.06239      1.06239      0.00000
          xF      0.38310      0.38310     -0.00000
      PhPerp      0.26362      0.26362      0.00000
  sin(theta)      0.88991      0.15297      0.73694
        PhiH      6.09682      6.09681      0.00000
        PhiR      2.46887      2.46887      0.00000

EVENT#  xtree0: 12275  xtree1: 12275
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.21961      2.21961      0.00000
        pimP      1.67975      1.67975      0.00000
        eleP      5.72846      5.72846      0.00000
          Q2      2.81433      2.81432      0.00000
           W      2.68471      2.68471      0.00000
           x      0.30786      0.30786     -0.00000
           y      0.45958      0.45958      0.00000
          Mh      0.68258      0.68258      0.00000
          xF      0.52373      0.52373     -0.00000
      PhPerp      0.66303      0.66303      0.00000
  sin(theta)      0.98818      0.53266      0.45552
        PhiH      4.06339      4.06339      0.00000
        PhiR      5.88319      5.88319      0.00000

EVENT#  xtree0: 12523  xtree1: 12523
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.23841      1.23841     -0.00000
        pimP      3.17185      3.17185      0.00000
        eleP      3.95010      3.95010      0.00000
          Q2      4.25319      4.25319      0.00000
           W      3.01762      3.01762      0.00000
           x      0.34083      0.34083      0.00000
           y      0.62735      0.62735     -0.00000
          Mh      0.75362      0.75362      0.00000
          xF      0.48244      0.48244     -0.00000
      PhPerp      0.30161      0.30161      0.00000
  sin(theta)      0.87911      0.33788      0.54123
        PhiH      2.69742      2.69742      0.00000
        PhiR      1.19985      1.19985      0.00000

EVENT#  xtree0: 13004  xtree1: 13004
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.36830      2.36830      0.00000
        pimP      1.97442      1.97442      0.00000
        eleP      5.94752      5.94752      0.00000
          Q2      1.85913      1.85913      0.00000
           W      2.78421      2.78421      0.00000
           x      0.21294      0.21294     -0.00000
           y      0.43891      0.43891      0.00000
          Mh      1.35829      1.35829      0.00000
          xF      0.49076      0.49076     -0.00000
      PhPerp      0.41001      0.41001      0.00000
  sin(theta)      0.99527      0.09942      0.89585
        PhiH      2.26992      2.26992      0.00000
        PhiR      5.41940      5.41940      0.00000

EVENT#  xtree0: 13038  xtree1: 13038
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.69575      2.69575      0.00000
        pimP      4.35729      4.35729      0.00000
        eleP      2.47844      2.47844      0.00000
          Q2      5.04606      5.04606      0.00000
           W      3.32788      3.32788      0.00000
           x      0.33110      0.33110     -0.00000
           y      0.76618      0.76618     -0.00000
          Mh      0.47235      0.47235      0.00000
          xF      0.77627      0.77627     -0.00000
      PhPerp      0.21159      0.21159      0.00000
  sin(theta)      0.95636      0.09098      0.86538
        PhiH      2.22114      2.22114      0.00000
        PhiR      5.22118      5.22118      0.00000

EVENT#  xtree0: 13223  xtree1: 13223
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.53326      1.53326      0.00000
        pimP      1.44678      1.44678      0.00000
        eleP      6.15418      6.15418      0.00000
          Q2      2.48728      2.48728      0.00000
           W      2.59535      2.59535      0.00000
           x      0.29814      0.29814     -0.00000
           y      0.41942      0.41942      0.00000
          Mh      0.41397      0.41397      0.00000
          xF      0.48577      0.48577     -0.00000
      PhPerp      0.47352      0.47352      0.00000
  sin(theta)      0.99923      0.44003      0.55919
        PhiH      3.31735      3.31735      6.28319
        PhiR      5.25184      5.25184      0.00000

EVENT#  xtree0: 13848  xtree1: 13848
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      6.64783      6.64783      0.00000
        pimP      1.01613      1.01613      0.00000
        eleP      2.71960      2.71960      0.00000
          Q2      3.16284      3.16284      0.00000
           W      3.53630      3.53630      0.00000
           x      0.21388      0.21388      0.00000
           y      0.74343      0.74343      0.00000
          Mh      1.56894      1.56893      0.00000
          xF      0.66093      0.66093     -0.00000
      PhPerp      0.44871      0.44871      0.00000
  sin(theta)      0.64914      0.25637      0.39278
        PhiH      1.72675      1.72675      0.00000
        PhiR      4.46329      4.46329      0.00000

EVENT#  xtree0: 13923  xtree1: 13923
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.06850      1.06850      0.00000
        pimP      6.10647      6.10647     -0.00000
        eleP      2.03252      2.03252      0.00000
          Q2      3.32869      3.32869      0.00000
           W      3.69174      3.69174      0.00000
           x      0.20704      0.20704      0.00000
           y      0.80825      0.80825     -0.00000
          Mh      0.98173      0.98173      0.00000
          xF      0.65561      0.65561     -0.00000
      PhPerp      0.61564      0.61564     -0.00000
  sin(theta)      0.67575      0.33368      0.34207
        PhiH      3.50695      3.50695      6.28319
        PhiR      0.89664      0.89664      6.28319

EVENT#  xtree0: 14297  xtree1: 14297
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.79458      1.79458     -0.00000
        pimP      3.45306      3.45306      0.00000
        eleP      3.60083      3.60083      0.00000
          Q2      1.89680      1.89680      0.00000
           W      3.48106      3.48106      0.00000
           x      0.14442      0.14442      0.00000
           y      0.66030      0.66030      0.00000
          Mh      0.36087      0.36087      0.00000
          xF      0.62765      0.62765     -0.00000
      PhPerp      0.65370      0.65370      0.00000
  sin(theta)      0.86701      0.42328      0.44373
        PhiH      3.53360      3.53360      0.00000
        PhiR      4.21201      4.21201      0.00000

EVENT#  xtree0: 14312  xtree1: 14312
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.98319      1.98319      0.00000
        pimP      1.78745      1.78745      0.00000
        eleP      2.86731      2.86731      0.00000
          Q2      1.57217      1.57217      0.00000
           W      3.71738      3.71738      0.00000
           x      0.10835      0.10835      0.00000
           y      0.72950      0.72950      0.00000
          Mh      0.35749      0.35749      0.00000
          xF      0.38969      0.38969     -0.00000
      PhPerp      0.53095      0.53095      0.00000
  sin(theta)      0.99655      0.43293      0.56362
        PhiH      3.98096      3.98096      6.28319
        PhiR      0.07420      0.07420      6.28319

EVENT#  xtree0: 14491  xtree1: 14491
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.67381      1.67381     -0.00000
        pimP      1.06649      1.06649      0.00000
        eleP      6.94407      6.94407      0.00000
          Q2      2.66169      2.66169      0.00000
           W      2.25370      2.25370      0.00000
           x      0.38797      0.38797     -0.00000
           y      0.34490      0.34490      0.00000
          Mh      0.51292      0.51292      0.00000
          xF      0.51890      0.51890     -0.00000
      PhPerp      0.32255      0.32255      0.00000
  sin(theta)      0.96398      0.20111      0.76287
        PhiH      2.72111      2.72111      0.00000
        PhiR      6.13589      6.13589      0.00000

EVENT#  xtree0: 14615  xtree1: 14615
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.32622      3.32622      0.00000
        pimP      1.22628      1.22628      0.00000
        eleP      2.71352      2.71352      0.00000
          Q2      6.80510      6.80510      0.00000
           W      2.97903      2.97903      0.00000
           x      0.45982      0.45982      0.00000
           y      0.74401      0.74401      0.00000
          Mh      1.05876      1.05876      0.00000
          xF      0.28139      0.28139     -0.00000
      PhPerp      0.12856      0.12856      0.00000
  sin(theta)      0.87213      0.21741      0.65472
        PhiH      3.37552      3.37552      0.00000
        PhiR      0.86832      0.86832      6.28319

EVENT#  xtree0: 14734  xtree1: 14734
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.06311      1.06311      0.00000
        pimP      3.80325      3.80325      0.00000
        eleP      4.22467      4.22467      0.00000
          Q2      2.87633      2.87633      0.00000
           W      3.15715      3.15715      0.00000
           x      0.24042      0.24042      0.00000
           y      0.60145      0.60145      0.00000
          Mh      1.49841      1.49841      0.00000
          xF      0.33663      0.33663     -0.00000
      PhPerp      0.34301      0.34301      0.00000
  sin(theta)      0.80049      0.50806      0.29243
        PhiH      1.61031      1.61031      0.00000
        PhiR      0.10369      0.10369      6.28318

EVENT#  xtree0: 14905  xtree1: 14905
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.15463      2.15463      0.00000
        pimP      1.52058      1.52058      0.00000
        eleP      5.20820      5.20820      0.00000
          Q2      5.48445      5.48445      0.00000
           W      2.34816      2.34816      0.00000
           x      0.54205      0.54205      0.00000
           y      0.50866      0.50866      0.00000
          Mh      0.99841      0.99841      0.00000
          xF      0.14464      0.14464     -0.00000
      PhPerp      0.66156      0.66156     -0.00000
  sin(theta)      0.98263      0.95305      0.02959
        PhiH      0.07752      0.07752      6.28319
        PhiR      1.27624      1.27624      0.00000

EVENT#  xtree0: 15133  xtree1: 15133
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.58246      1.58246      0.00000
        pimP      1.05555      1.05555      0.00000
        eleP      5.19739      5.19739      0.00000
          Q2      3.48205      3.48205      0.00000
           W      2.74527      2.74527      0.00000
           x      0.34346      0.34346      0.00000
           y      0.50968      0.50968      0.00000
          Mh      0.81933      0.81933      0.00000
          xF      0.18449      0.18449     -0.00000
      PhPerp      0.33447      0.33447      0.00000
  sin(theta)      0.97532      0.68726      0.28806
        PhiH      4.24313      4.24313      0.00000
        PhiR      2.40903      2.40903      0.00000

EVENT#  xtree0: 15166  xtree1: 15166
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.64390      1.64390      0.00000
        pimP      1.83143      1.83143      0.00000
        eleP      4.25947      4.25947     -0.00000
          Q2      3.79123      3.79123      0.00000
           W      2.99790      2.99790      0.00000
           x      0.31864      0.31864      0.00000
           y      0.59816      0.59816      0.00000
          Mh      1.55251      1.55251      0.00000
          xF     -0.19636     -0.19636     -0.00000
      PhPerp      0.63827      0.63827     -0.00000
  sin(theta)      0.99815      0.81040      0.18774
        PhiH      0.90668      0.90668      0.00000
        PhiR      0.55507      0.55507      6.28319

EVENT#  xtree0: 15511  xtree1: 15511
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.57507      1.57507     -0.00000
        pimP      2.15387      2.15387      0.00000
        eleP      2.33439      2.33439      0.00000
          Q2      5.18478      5.18478      0.00000
           W      3.34759      3.34759      0.00000
           x      0.33427      0.33427     -0.00000
           y      0.77977      0.77977      0.00000
          Mh      0.31349      0.31349      0.00000
          xF      0.20343      0.20343     -0.00000
      PhPerp      0.93466      0.93466      0.00000
  sin(theta)      0.94032      0.83364      0.10668
        PhiH      2.19440      2.19440      0.00000
        PhiR      3.18901      3.18901      0.00000

EVENT#  xtree0: 15812  xtree1: 15812
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.02039      1.02039      0.00000
        pimP      1.07915      1.07915      0.00000
        eleP      6.78623      6.78623      0.00000
          Q2      1.65690      1.65690      0.00000
           W      2.52590      2.52590      0.00000
           x      0.23152      0.23152      0.00000
           y      0.35979      0.35979      0.00000
          Mh      0.49959      0.49959      0.00000
          xF      0.35839      0.35839     -0.00000
      PhPerp      0.31099      0.31099      0.00000
  sin(theta)      0.99942      0.27577      0.72365
        PhiH      2.74070      2.74070      0.00000
        PhiR      6.26291      6.26291      6.28318

EVENT#  xtree0: 15929  xtree1: 15929
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      4.15742      4.15742      0.00000
        pimP      1.22459      1.22459      0.00000
        eleP      2.98270      2.98270      0.00000
          Q2      6.28957      6.28957      0.00000
           W      2.98077      2.98077      0.00000
           x      0.44001      0.44001      0.00000
           y      0.71861      0.71861     -0.00000
          Mh      1.02747      1.02747      0.00000
          xF      0.38666      0.38666     -0.00000
      PhPerp      0.63546      0.63546      0.00000
  sin(theta)      0.81843      0.50792      0.31052
        PhiH      0.30310      0.30310      0.00000
        PhiR      4.27755      4.27755      0.00000

EVENT#  xtree0: 15997  xtree1: 15997
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.30208      1.30208      0.00000
        pimP      1.39609      1.39609      0.00000
        eleP      3.93156      3.93156      0.00000
          Q2      2.88863      2.88863      0.00000
           W      3.24120      3.24120      0.00000
           x      0.23084      0.23084     -0.00000
           y      0.62910      0.62910      0.00000
          Mh      0.55648      0.55648      0.00000
          xF      0.23482      0.23482     -0.00000
      PhPerp      0.45183      0.45183     -0.00000
  sin(theta)      0.99917      0.50269      0.49648
        PhiH      4.89845      4.89845      6.28319
        PhiR      1.74100      1.74100      0.00000

EVENT#  xtree0: 16313  xtree1: 16313
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.66892      1.66892      0.00000
        pimP      1.15741      1.15741      0.00000
        eleP      4.09892      4.09892      0.00000
          Q2      4.91226      4.91226      0.00000
           W      2.85791      2.85791      0.00000
           x      0.40266      0.40266     -0.00000
           y      0.61331      0.61331      0.00000
          Mh      0.90589      0.90589      0.00000
          xF      0.08975      0.08975     -0.00000
      PhPerp      0.33060      0.33060     -0.00000
  sin(theta)      0.98006      0.65008      0.32997
        PhiH      4.78029      4.78029      0.00000
        PhiR      1.76056      1.76056      6.28319

EVENT#  xtree0: 16372  xtree1: 16372
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.29237      3.29237      0.00000
        pimP      1.12828      1.12828      0.00000
        eleP      2.75287      2.75287      0.00000
          Q2      1.90951      1.90951      0.00000
           W      3.70086      3.70086      0.00000
           x      0.12967      0.12967      0.00000
           y      0.74030      0.74030      0.00000
          Mh      1.28573      1.28572      0.00000
          xF      0.26238      0.26238     -0.00000
      PhPerp      0.38309      0.38309      0.00000
  sin(theta)      0.85337      0.67476      0.17861
        PhiH      4.44001      4.44001      0.00000
        PhiR      5.99724      5.99724      0.00000

EVENT#  xtree0: 16458  xtree1: 16458
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.45294      2.45294      0.00000
        pimP      1.36182      1.36182      0.00000
        eleP      5.40208      5.40208      0.00000
          Q2      2.25280      2.25280      0.00000
           W      2.89511      2.89511      0.00000
           x      0.23096      0.23096     -0.00000
           y      0.49037      0.49037      0.00000
          Mh      0.84305      0.84304      0.00000
          xF      0.47427      0.47427     -0.00000
      PhPerp      0.50731      0.50731      0.00000
  sin(theta)      0.95107      0.49661      0.45446
        PhiH      3.03000      3.03000      6.28319
        PhiR      4.77787      4.77787      0.00000

EVENT#  xtree0: 16465  xtree1: 16465
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      6.06345      6.06345      0.00000
        pimP      1.31109      1.31109      0.00000
        eleP      2.77264      2.77264      0.00000
          Q2      5.97713      5.97712      0.00000
           W      3.09703      3.09703      0.00000
           x      0.40693      0.40693      0.00000
           y      0.73843      0.73843      0.00000
          Mh      1.66760      1.66760      0.00000
          xF      0.52052      0.52052     -0.00000
      PhPerp      0.09593      0.09593     -0.00000
  sin(theta)      0.74295      0.37819      0.36475
        PhiH      0.00896      0.00896      0.00000
        PhiR      2.78884      2.78884      0.00000

EVENT#  xtree0: 16487  xtree1: 16487
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.69076      3.69076      0.00000
        pimP      1.16132      1.16132      0.00000
        eleP      5.25528      5.25528      0.00000
          Q2      2.13207      2.13207      0.00000
           W      2.96275      2.96275      0.00000
           x      0.21258      0.21258     -0.00000
           y      0.50422      0.50422      0.00000
          Mh      0.67131      0.67131      0.00000
          xF      0.67881      0.67881     -0.00000
      PhPerp      0.71846      0.71846      0.00000
  sin(theta)      0.81735      0.25142      0.56593
        PhiH      2.20397      2.20397      0.00000
        PhiR      5.35777      5.35777      0.00000

EVENT#  xtree0: 16467  xtree1: 16467
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.42337      1.42337     -0.00000
        pimP      1.30371      1.30371      0.00000
        eleP      2.44270      2.44270      0.00000
          Q2      2.05805      2.05805      0.00000
           W      3.75897      3.75897      0.00000
           x      0.13445      0.13445      0.00000
           y      0.76956      0.76956     -0.00000
          Mh      0.53432      0.53432      0.00000
          xF      0.21832      0.21832     -0.00000
      PhPerp      0.35019      0.35019      0.00000
  sin(theta)      0.99865      0.47412      0.52453
        PhiH      2.85084      2.85084      6.28319
        PhiR      0.67293      0.67293      6.28319

EVENT#  xtree0: 16754  xtree1: 16754
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.17655      2.17655      0.00000
        pimP      1.51471      1.51471      0.00000
        eleP      5.29360      5.29360      0.00000
          Q2      3.52702      3.52702      0.00000
           W      2.70389      2.70389      0.00000
           x      0.35420      0.35420      0.00000
           y      0.50060      0.50060      0.00000
          Mh      0.54571      0.54571      0.00000
          xF      0.55325      0.55325     -0.00000
      PhPerp      0.07359      0.07359      0.00000
  sin(theta)      0.97776      0.08582      0.89194
        PhiH      2.39038      2.39038      0.00000
        PhiR      5.93783      5.93783      0.00000

EVENT#  xtree0: 16849  xtree1: 16849
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.01183      1.01183      0.00000
        pimP      1.34306      1.34306      0.00000
        eleP      5.37979      5.37979     -0.00000
          Q2      4.37085      4.37085      0.00000
           W      2.51107      2.51107      0.00000
           x      0.44619      0.44619      0.00000
           y      0.49247      0.49247      0.00000
          Mh      0.54419      0.54419      0.00000
          xF      0.25887      0.25887     -0.00000
      PhPerp      0.21789      0.21789     -0.00000
  sin(theta)      0.98613      0.45933      0.52680
        PhiH      4.40197      4.40197      0.00000
        PhiR      6.24575      6.24575      0.00000

EVENT#  xtree0: 16864  xtree1: 16864
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.36629      1.36629      0.00000
        pimP      2.11245      2.11245      0.00000
        eleP      2.17714      2.17714      0.00000
          Q2      2.14302      2.14302      0.00000
           W      3.81356      3.81356      0.00000
           x      0.13558      0.13558      0.00000
           y      0.79461      0.79461      0.00000
          Mh      0.78619      0.78618      0.00000
          xF      0.24110      0.24110     -0.00000
      PhPerp      0.41809      0.41809     -0.00000
  sin(theta)      0.97226      0.55432      0.41794
        PhiH      2.74519      2.74519      0.00000
        PhiR      0.88785      0.88785      0.00000

EVENT#  xtree0: 16947  xtree1: 16947
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.46692      1.46692      0.00000
        pimP      1.60474      1.60474      0.00000
        eleP      5.06826      5.06826      0.00000
          Q2      3.78188      3.78188      0.00000
           W      2.73478      2.73478      0.00000
           x      0.36432      0.36432      0.00000
           y      0.52186      0.52186      0.00000
          Mh      0.45118      0.45118      0.00000
          xF      0.31277      0.31277     -0.00000
      PhPerp      0.67288      0.67288      0.00000
  sin(theta)      0.99836      0.77864      0.21972
        PhiH      3.82853      3.82854      6.28319
        PhiR      3.75822      3.75822      0.00000

EVENT#  xtree0: 17300  xtree1: 17300
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      4.97982      4.97982      0.00000
        pimP      1.39802      1.39802      0.00000
        eleP      2.73456      2.73456      0.00000
          Q2      2.24882      2.24882      0.00000
           W      3.65942      3.65942      0.00000
           x      0.15236      0.15236      0.00000
           y      0.74202      0.74202      0.00000
          Mh      1.17727      1.17727      0.00000
          xF      0.61297      0.61297     -0.00000
      PhPerp      0.16846      0.16846      0.00000
  sin(theta)      0.80993      0.27603      0.53390
        PhiH      2.75276      2.75276      0.00000
        PhiR      4.97725      4.97725      0.00000

EVENT#  xtree0: 17303  xtree1: 17303
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.38892      1.38892      0.00000
        pimP      2.12765      2.12765      0.00000
        eleP      4.12326      4.12326      0.00000
          Q2      2.37891      2.37891      0.00000
           W      3.26425      3.26425      0.00000
           x      0.19573      0.19573      0.00000
           y      0.61101      0.61101      0.00000
          Mh      0.84412      0.84411      0.00000
          xF      0.34106      0.34106     -0.00000
      PhPerp      0.29526      0.29526     -0.00000
  sin(theta)      0.97372      0.26938      0.70434
        PhiH      5.36019      5.36019      0.00000
        PhiR      1.59906      1.59906      6.28319

EVENT#  xtree0: 17436  xtree1: 17436
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.11728      1.11728      0.00000
        pimP      2.00009      2.00009      0.00000
        eleP      3.68637      3.68637      0.00000
          Q2      4.52938      4.52938      0.00000
           W      3.05364      3.05364      0.00000
           x      0.34912      0.34912      0.00000
           y      0.65223      0.65223      0.00000
          Mh      0.71604      0.71604      0.00000
          xF      0.22709      0.22709     -0.00000
      PhPerp      0.41692      0.41692      0.00000
  sin(theta)      0.94970      0.56557      0.38413
        PhiH      3.08996      3.08997      6.28318
        PhiR      5.78664      5.78664      0.00000

EVENT#  xtree0: 17511  xtree1: 17511
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.62547      1.62547      0.00000
        pimP      1.75915      1.75915     -0.00000
        eleP      5.88476      5.88476      0.00000
          Q2      2.51906      2.51906      0.00000
           W      2.68508      2.68508      0.00000
           x      0.28469      0.28469      0.00000
           y      0.44483      0.44483      0.00000
          Mh      0.65978      0.65978      0.00000
          xF      0.48071      0.48071     -0.00000
      PhPerp      0.49015      0.49015      0.00000
  sin(theta)      0.99903      0.33972      0.65931
        PhiH      2.50617      2.50617      0.00000
        PhiR      5.28960      5.28960      0.00000

EVENT#  xtree0: 18583  xtree1: 18583
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.42252      1.42252      0.00000
        pimP      1.77400      1.77400      0.00000
        eleP      6.68579      6.68579      0.00000
          Q2      2.34200      2.34200      0.00000
           W      2.42560      2.42560      0.00000
           x      0.31885      0.31885     -0.00000
           y      0.36927      0.36927      0.00000
          Mh      0.72724      0.72724      0.00000
          xF      0.52188      0.52188     -0.00000
      PhPerp      0.43038      0.43038      0.00000
  sin(theta)      0.99261      0.54940      0.44322
        PhiH      2.65174      2.65174      0.00000
        PhiR      3.65944      3.65944      0.00000

EVENT#  xtree0: 18605  xtree1: 18605
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.85970      1.85970      0.00000
        pimP      1.63672      1.63672     -0.00000
        eleP      4.80406      4.80406      0.00000
          Q2      2.20389      2.20389      0.00000
           W      3.09076      3.09076      0.00000
           x      0.20263      0.20263      0.00000
           y      0.54679      0.54679      0.00000
          Mh      0.34785      0.34785      0.00000
          xF      0.50405      0.50405     -0.00000
      PhPerp      0.33852      0.33852      0.00000
  sin(theta)      0.99429      0.28840      0.70589
        PhiH      4.44918      4.44918      0.00000
        PhiR      0.15530      0.15530      6.28319

EVENT#  xtree0: 18744  xtree1: 18744
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.16126      1.16126      0.00000
        pimP      2.98264      2.98264      0.00000
        eleP      2.71599      2.71599      0.00000
          Q2      1.61050      1.61050      0.00000
           W      3.75027      3.75027      0.00000
           x      0.10886      0.10886     -0.00000
           y      0.74377      0.74377      0.00000
          Mh      0.69919      0.69919      0.00000
          xF      0.40482      0.40483     -0.00000
      PhPerp      0.31614      0.31614      0.00000
  sin(theta)      0.87528      0.27886      0.59642
        PhiH      3.71706      3.71706      0.00000
