 #revent Q2 x W y Pe M xFm pT theta phiR_rad phiH_rad Ppip Ppim
8526 2.8873447 0.2463258 3.1168350 0.5892833 4.3535965 0.7841380 0.4149122 0.7600382 2.3588767 0.6779015 1.4510283 1.5607868 2.6977642
8561 1.6879542 0.1509029 3.2215059 0.5623395 4.6392018 0.9268780 0.5290280 0.2606677 3.0584995 4.8428725 1.6390948 3.0882452 1.2682215
8598 1.6688400 0.1868491 2.8535938 0.4490131 5.8404615 0.5438252 0.7889455 0.4155390 2.8346155 5.0855700 4.0724306 1.5750516 2.9914279
8996 2.5369674 0.1906741 3.4130101 0.6688958 3.5097046 0.5944291 0.1496037 0.6209859 2.1341865 5.4760968 4.1571887 1.4169740 1.2212497
9479 4.6893030 0.3466315 3.1175729 0.6801046 3.3908913 0.3097332 0.2677988 0.6516377 2.3640676 0.6741481 3.0391350 1.1091418 2.0637056
9521 1.3630300 0.0905170 3.8177994 0.7570253 2.5755315 0.9904534 0.1473738 0.5699578 2.4540244 3.3049106 0.7623994 1.8240698 1.5245583
9990 4.2570191 0.4565300 2.4388657 0.4687828 5.6309023 0.7891348 0.3269876 0.3735437 2.2802744 5.0389819 5.6904658 1.8314504 1.3606306
10050 2.5527060 0.2269556 3.0943900 0.5654514 4.6062152 0.5738180 0.3341766 0.5251745 2.6269601 6.0234564 2.5434619 1.0715870 2.0434656
10533 2.0980238 0.1829877 3.2012052 0.5764000 4.4901596 0.7618187 0.4387274 0.8633216 2.6741443 3.5195986 0.7517045 2.9655019 1.3708519
10567 2.9902179 0.3081719 2.7555798 0.4878038 5.4292799 0.9713677 0.3923486 0.1171169 2.8397501 0.7736266 2.7155778 2.0787573 1.4576041
10986 1.8025260 0.1295925 3.6037500 0.6992574 3.1878714 0.5569749 0.1456700 0.6935293 2.0936527 4.5261999 3.5233907 1.3147083 1.3684049
11222 2.6098920 0.2096917 3.2736509 0.6257151 3.9674201 1.0660292 0.2978048 0.5173791 2.6623506 4.0568943 1.5204664 2.0293084 1.9405650
11882 3.8280757 0.2651879 3.3893379 0.7257084 2.9074904 0.7633681 0.1468983 0.3203333 2.6523392 5.1110743 2.3072933 1.7046841 1.0648447
11949 4.1490582 0.2707822 3.4718568 0.7703087 2.4347273 1.0623870 0.3831014 0.2636220 2.9880243 2.4688696 6.0968148 3.5509208 1.4098109
12275 2.8143248 0.3078572 2.6847136 0.4595792 5.7284610 0.6825803 0.5237302 0.6630343 2.5798530 5.8831862 4.0633919 2.2196114 1.6797476
12523 4.2531862 0.3408321 3.0176150 0.6273492 3.9500989 0.7536225 0.4824398 0.3016135 2.7969260 1.1998533 2.6974181 1.2384077 3.1718548
13004 1.8591286 0.2129442 2.7842086 0.4389136 5.9475156 1.3582912 0.4907588 0.4100086 3.0420058 5.4194005 2.2699188 2.3683006 1.9744198
13038 5.0460638 0.3310965 3.3278753 0.7661849 2.4784405 0.4723472 0.7762738 0.2115905 3.0504900 5.2211841 2.2211392 2.6957521 4.3572890
13223 2.4872781 0.2981357 2.5953513 0.4194167 6.1541825 0.4139738 0.4857744 0.4735213 2.6859554 5.2518433 3.3173539 1.5332611 1.4467790
13848 3.1628417 0.2138801 3.5363021 0.7434341 2.7195985 1.5689345 0.6609266 0.4487082 2.8823319 4.4632896 1.7267497 6.6478302 1.0161276
13923 3.3286861 0.2070431 3.6917378 0.8082532 2.0325165 0.9817324 0.6556083 0.6156393 2.8013859 0.8966373 3.5069529 1.0684975 6.1064718
14297 1.8967987 0.1444163 3.4810627 0.6602986 3.6008344 0.3608652 0.6276521 0.6536994 2.7045337 4.2120064 3.5336019 1.7945841 3.4530606
14312 1.5721733 0.1083455 3.7173803 0.7294992 2.8673088 0.3574878 0.3896858 0.5309514 2.6938500 0.0742030 3.9809618 1.9831897 1.7874543
14491 2.6616925 0.3879727 2.2537029 0.3448991 6.9440692 0.5129220 0.5189024 0.3225473 2.9390995 6.1358948 2.7211052 1.6738145 1.0664879
14615 6.8050960 0.4598245 2.9790251 0.7440078 2.7135172 1.0587634 0.2813914 0.1285583 2.9224338 0.8683186 3.3755232 3.3262175 1.2262778
14734 2.8763286 0.2404237 3.1571516 0.6014459 4.2246737 1.4984055 0.3366337 0.3430134 2.6086565 0.1036877 1.6103142 1.0631119 3.8032483
14905 5.4844460 0.5420508 2.3481620 0.5086607 5.2081965 0.9984054 0.1446421 0.6615587 1.8784474 1.2762437 0.0775191 2.1546329 1.5205835
15133 3.4820505 0.3434575 2.7452743 0.5096798 5.1973945 0.8193310 0.1844869 0.3344687 2.3838788 2.4090271 4.2431346 1.5824584 1.0555476
15166 3.7912344 0.3186370 2.9979002 0.5981633 4.2594688 1.5525086 -0.1963575 0.6382726 0.9448409 0.5550702 0.9066838 1.6438992 1.8314263
15511 5.1847809 0.3342695 3.3475893 0.7797745 2.3343900 0.3134877 0.2034292 0.9346632 2.1559283 3.1890130 2.1944024 1.5750731 2.1538673
15812 1.6569036 0.2315177 2.5258968 0.3597894 6.7862318 0.4995913 0.3583946 0.3109860 2.8622023 6.2629143 2.7407001 1.0203850 1.0791470
15929 6.2895698 0.4400083 2.9807701 0.7186136 2.9826963 1.0274661 0.3866642 0.6354583 2.6088295 4.2775498 0.3030959 4.1574228 1.2245882
15997 2.8886316 0.2308390 3.2411951 0.6290982 3.9315591 0.5564793 0.2348157 0.4518252 2.6148867 1.7410039 4.8984535 1.3020835 1.3960896
16313 4.9122604 0.4026587 2.8579115 0.6133095 4.0989191 0.9058887 0.0897497 0.3305988 2.4338990 1.7605569 4.7802862 1.6689233 1.1574091
16372 1.9095063 0.1296735 3.7008563 0.7402955 2.7528675 1.2857247 0.2623812 0.3830903 2.4009596 5.9972368 4.4400150 3.2923731 1.1282846
16458 2.2528032 0.2309592 2.8951114 0.4903695 5.4020836 0.8430447 0.4742710 0.5073114 2.6219011 4.7778685 3.0299972 2.4529369 1.3618173
16465 5.9771249 0.4069284 3.0970346 0.7384306 2.7726355 1.6676038 0.5205234 0.0959305 2.7537491 2.7888441 0.0089627 6.0634536 1.3110890
16487 2.1320689 0.2125777 2.9627495 0.5042187 5.2552815 0.6713121 0.6788141 0.7184612 2.8874508 5.3577657 2.2039701 3.6907564 1.1613163
16467 2.0580494 0.1344468 3.7589683 0.7695569 2.4426972 0.5343219 0.2183218 0.3501943 2.6476242 0.6729322 2.8508353 1.4233684 1.3037131
16754 3.5270153 0.3541999 2.7038926 0.5006039 5.2935983 0.5457061 0.5532465 0.0735947 3.0556701 5.9378271 2.3903843 2.1765531 1.5147114
16849 4.3708513 0.4461896 2.5110663 0.4924725 5.3797915 0.5441914 0.2588711 0.2178881 2.6643486 6.2457465 4.4019706 1.0118333 1.3430622
16864 2.1430205 0.1355838 3.8135554 0.7946096 2.1771380 0.7861848 0.2410954 0.4180912 2.5540469 0.8878494 2.7451873 1.3662913 2.1124507
16947 3.7818757 0.3643228 2.7347835 0.5218627 5.0682553 0.4511818 0.3127745 0.6728806 2.2490919 3.7582185 3.8285351 1.4669170 1.6047386
17300 2.2488232 0.1523609 3.6594226 0.7420226 2.7345608 1.1772744 0.6129663 0.1684553 2.8619319 4.9772507 2.7527613 4.9798188 1.3980166
17303 2.3789143 0.1957328 3.2642497 0.6110131 4.1232608 0.8441149 0.3410553 0.2952630 2.8688408 1.5990569 5.3601941 1.3889169 2.1276538
17436 4.5293759 0.3491188 3.0536398 0.6522296 3.6863664 0.7160362 0.2270924 0.4169201 2.5404677 5.7866357 3.0899658 1.1172812 2.0000891
17511 2.5190647 0.2846932 2.6850770 0.4448336 5.8847635 0.6597798 0.4807111 0.4901489 2.7949771 5.2896033 2.5061741 1.6254681 1.7591526
18583 2.3419993 0.3188478 2.4256033 0.3692655 6.6857852 0.7272414 0.5218814 0.4303808 2.5599509 3.6594448 2.6517361 1.4225179 1.7739996
18605 2.2038864 0.2026313 3.0907612 0.5467868 4.8040597 0.3478456 0.5040505 0.3385192 2.8490355 0.1553036 4.4491820 1.8597039 1.6367224
18744 1.6105024 0.1088568 3.7502727 0.7437746 2.7159889 0.6991891 0.4048251 0.3161380 2.8589852 5.8087850 3.7170634 1.1612597 2.9826404
18900 2.4045512 0.1513916 3.7892997 0.7984866 2.1360424 1.0881519 0.2605132 0.3206375 2.8136813 2.1361126 5.6130488 1.4636660 2.7166009
19028 1.4669536 0.0928561 3.9001984 0.7942213 2.1812543 0.5807841 0.3077155 0.5541512 2.6409714 6.0381596 3.8219395 2.3868199 1.3148277
19085 4.0328373 0.3953414 2.6548850 0.5128304 5.1639978 1.5160528 0.2249126 0.4079005 1.8650706 0.9119618 1.3500413 2.9165147 1.5626048
19229 2.8772770 0.1832179 3.7023243 0.7894947 2.2313562 0.7409732 0.0200090 0.7609458 1.8668459 4.7905899 3.3174517 1.6977452 1.0442295
19254 1.4708279 0.1004345 3.7488894 0.7362312 2.7959490 0.3237338 0.3337681 1.0493735 2.3707869 0.8897479 3.9985854 1.1851993 3.0687896
19362 7.8032321 0.5135586 2.8760315 0.7638708 2.5029689 1.0160271 -0.2721156 0.2867288 1.1910294 4.1405407 0.6075966 1.2296748 1.1255322
