 #revent pip_E pip_th pip_phi pip_phiH pip_pT pip_z pip_Mx pip_xF pip_etaCM pip_etaBF pim_E pim_th pim_phi pim_phiH pim_pT pim_z pim_Mx pim_xF pim_etaCM pim_etaBF phiH_rad pT phiR1 phiR2
 60 1.0042187 0.5442177 -1.037171 3.8415366 0.4604583 0.1195136 3.2707619 -0.047025 -0.184338 1.0567361 1.174312 0.4265725 1.2973085 2.9072336 0.3988462 0.1397567 3.3432062 0.0292625 0.1309737 0.7414233 3.4105341 0.7677351 4.8039750 4.6580466
 65 1.4856305 0.5029461 0.1278520 1.8368212 0.5742568 0.4456383 1.7429175 0.2174900 0.4461712 0.4207668 1.5421041 0.5569169 -1.343027 4.2648330 0.6336303 0.4625785 1.6745002 0.2041646 0.3847174 0.4822206 3.1819430 0.4255296 1.4617107 1.4686511
 84 1.5520914 0.1024210 -0.828810 0.7120190 0.1742161 0.3258532 2.4600915 0.2725569 1.3538070 -0.389033 0.9300750 0.2874883 -0.173850 2.8216492 0.1231850 0.1952642 2.6564467 0.1514147 1.0183248 -0.053551 1.4730844 0.1533013 0.2930645 0.1492442
 78 0.6812110 0.1279881 0.6529015 5.5558302 0.1021077 0.1766466 2.4345157 0.1256815 0.8637346 0.0560818 0.1915881 0.8326313 0.9213195 1.0465635 0.1041687 0.0496812 2.4536829 -0.105102 -0.740300 1.6601172 0.1718629 0.1303293 4.8638504 4.4385760
 86 0.8887425 0.4442861 0.9823526 2.6702773 0.2037423 0.2285520 2.2934365 0.1513416 0.7367399 -0.001834 2.1679534 0.1282003 0.5353352 0.5855799 0.3203989 0.5575181 1.8228241 0.4488951 1.2946313 -0.559726 1.2637186 0.2828194 3.3279430 3.0732487
 85 0.7047787 0.3916749 -0.293926 2.1168467 0.2058674 0.1434212 2.7545123 0.0722664 0.4278887 0.6544934 0.9998186 0.7886118 -1.408761 4.5761427 0.6823487 0.2034614 2.1710151 -0.174470 -0.371674 1.4540567 4.3326541 0.5384523 1.5874976 1.6344369
 75 0.9666602 0.4454162 -0.654275 1.3336255 0.3556902 0.2588517 1.7639423 0.0662622 0.1887515 -0.082191 0.2144665 1.9337218 0.0374578 5.9117478 0.1253737 0.0574297 1.3975337 -0.571642 -1.919592 2.0261523 0.9822343 0.3609640 1.6555879 2.2480981
 82 0.3050203 0.7620065 0.0593203 2.1861110 0.1738993 0.0439803 3.22316 -0.083852 -0.617644 1.5520460 0.3102652 1.2004029 -1.018557 1.1665423 0.2621284 0.0447365 2.9389106 -0.242140 -1.153031 2.0874331 1.5636781 0.3830144 3.5943881 3.5813764
 80 0.8893206 0.7029243 -1.062158 4.6997602 0.5250695 0.2065512 1.7105971 -0.164416 -0.352385 0.5208572 2.6101260 0.3788214 0.0956943 1.4519230 0.6987218 0.6062210 1.3303516 0.3423953 0.5439837 -0.375512 1.1465158 0.1851857 4.6390934 4.6666326
 110 0.3130337 1.3472986 0.8402937 3.7778213 0.2663133 0.0517910 2.7921004 -0.237118 -1.086009 2.1473341 4.0070028 0.0826510 0.7468898 5.5115247 0.2373377 0.6629538 2.0530900 0.5988630 1.9980756 -0.936751 4.5770173 0.3267249 3.1226844 3.7099927
 92 1.6810145 0.5388848 -0.311156 3.4586861 0.5208684 0.4693642 1.7925053 0.2841042 0.6296228 0.1420278 0.2002259 0.9516424 -1.531433 5.3708193 0.1267117 0.0559060 2.2850356 -0.135898 -0.823287 1.5949379 3.7032490 0.4931256 3.2498048 2.6066288
 101 0.1416490 1.5458000 -1.008221 0.5308760 0.0237181 0.0381406 2.3555713 -0.163348 -1.201642 2.0618124 0.5468996 0.3808236 0.1609663 1.1905901 0.2100713 0.1472590 2.3528994 0.0453533 0.2336164 0.6265528 1.1271447 0.2292739 4.4080139 4.7191848
 91 0.7275865 0.6045639 -1.236423 5.7226389 0.4906351 0.1345683 2.3141177 -0.181320 -0.503932 1.0936739 1.7195166 0.3301183 1.4694619 1.4271110 0.5085564 0.3180274 2.3061437 0.1672963 0.4533283 0.1364132 0.4608332 0.5452506 5.1339982 5.3944032
 98 0.6998697 0.4646355 1.4939246 2.0984416 0.2939604 0.0727716 3.8023695 -0.029525 -0.186958 1.2834676 0.8936337 0.3209155 0.8382482 4.7767666 0.2785369 0.0929190 3.8208627 0.0193155 0.1281467 0.9683622 3.3238767 0.1322820 1.8731620 1.9017142
 106 0.6363181 0.2882669 -0.261332 3.7628700 0.1437970 0.0714525 3.7187152 0.0261366 0.2534563 0.6795257 0.4693169 0.7478717 0.2136145 0.9151951 0.3169000 0.0526999 3.4544160 -0.144829 -0.749422 1.6824045 1.1435223 0.1840461 3.9653912 3.9834857
 111 0.5122329 0.2714258 -0.505628 5.9305806 0.2687069 0.2093203 1.7669429 0.0158849 0.0548082 0.4655509 0.5052084 1.4953445 -0.863760 1.9567114 0.4741298 0.2064498 1.2355772 -0.453495 -0.852153 1.3725125 1.3611741 0.3542175 5.3928298 5.3900596
 128 0.3315380 0.9517185 1.5131914 2.2429779 0.2253652 0.0728324 2.5901320 -0.106212 -0.554391 1.5536197 0.6057688 0.0437456 1.3992701 6.0962591 0.1101721 0.1330755 2.6898011 0.0848414 0.6481366 0.3510912 1.7737840 0.1591331 2.4719117 2.3872717
 116 0.3503007 1.8463031 -1.300005 5.6955785 0.2734946 0.1243080 1.1209216 -0.693653 -1.646596 2.1698505 0.5953727 0.5523751 -1.129534 2.4142492 0.1532193 0.2112745 1.9565215 0.1181131 0.5945398 -0.071286 5.8690728 0.1236247 5.6454333 5.6609798
 127 0.5523263 0.1223267 -0.079829 0.3290380 0.0668041 0.1564373 2.3227198 0.1046414 0.7755848 -0.016443 0.1756809 0.5716362 -0.008665 2.7142367 0.0366304 0.0497587 2.3651200 -0.062243 -0.521803 1.2809441 0.8883206 0.0473812 0.0662313 6.1288252
 139 0.1993252 0.9331293 -0.476166 0.7646986 0.1307468 0.0770144 1.8620882 -0.159660 -0.800786 1.3061734 2.1399965 0.22898 -1.179639 5.9081909 0.2762795 0.8268424 1.1687560 0.6404600 1.5312628 -1.025876 6.2528220 0.3515890 2.2746266 0.9571231
 115 0.9832744 0.3340861 1.1792348 0.7595608 0.4461058 0.2855715 1.9216095 0.0729177 0.1899977 0.4369760 0.9277786 0.4263708 1.4598479 5.2380778 0.4385376 0.2694539 1.9356824 0.0532623 0.1413377 0.4856360 6.1512443 0.5483163 1.4212666 1.4442031
 105 0.3574596 1.1175389 -0.890037 4.4900864 0.2916864 0.0613852 2.7927867 -0.200070 -0.893548 2.0101132 0.9869539 0.1603325 -1.066998 0.6695212 0.2257965 0.1694859 2.9527812 0.1103173 0.6389156 0.4776487 5.3753637 0.1831809 4.1955365 4.3465457
 138 0.1686919 2.1332237 0.7898111 6.2729198 0.0740189 0.0280727 2.8371953 -0.259392 -1.730794 2.8291971 0.3055515 1.6636459 0.6367019 2.9796756 0.2717583 0.0508481 2.6314073 -0.330083 -1.350116 2.4485187 2.9234302 0.1989033 6.1536741 6.1713218
